# KOSPI Top 100 종목 코드
# 시가총액 기준 상위 100개 종목
# 형식: 종목코드  # 종목명 (선택사항)

# Top 20
005930  # 삼성전자
000660  # SK하이닉스
005380  # 현대차
051910  # LG화학
006400  # 삼성SDI
005490  # POSCO홀딩스
068270  # 셀트리온
035420  # NAVER
207940  # 삼성바이오로직스
105560  # KB금융
055550  # 신한지주
012330  # 현대모비스
035720  # 카카오
028260  # 삼성물산
066570  # LG전자
096770  # SK이노베이션
003670  # 포스코퓨처엠
000270  # 기아
017670  # SK텔레콤
034730  # SK

# 21-40
086790  # 하나금융지주
033780  # KT&G
018260  # 삼성에스디에스
009150  # 삼성전기
032830  # 삼성생명
015760  # 한국전력
003550  # LG
010130  # 고려아연
030200  # KT
010950  # S-Oil
011200  # 현대상선
042700  # 한미반도체
024110  # 기업은행
086280  # 현대글로비스
161390  # 한국타이어앤테크놀로지
000810  # 삼성화재
004020  # 현대제철
011070  # LG이노텍
036570  # 엔씨소프트
047810  # 한국항공우주

# 41-60
271560  # 오리온
021240  # 코웨이
009540  # 한국조선해양
326030  # SK바이오팜
000100  # 유한양행
028050  # 삼성엔지니어링
051900  # LG생활건강
011170  # 롯데케미칼
001450  # 현대해상
034220  # LG디스플레이
003490  # 대한항공
097950  # CJ제일제당
071050  # 한국금융지주
009830  # 한화솔루션
047050  # 포스코인터내셔널
000150  # 두산
138040  # 메리츠금융지주
016360  # 삼성증권
090430  # 아모레퍼시픽
001040  # CJ

# 61-80
004170  # 신세계
000720  # 현대건설
023530  # 롯데쇼핑
010140  # 삼성중공업
018880  # 한온시스템
004990  # 롯데지주
001230  # 동국제강
012450  # 한화에어로스페이스
010620  # 현대미포조선
139480  # 이마트
032640  # LG유플러스
006800  # 미래에셋증권
088350  # 한화생명
006260  # LS
003410  # 쌍용C&E
014680  # 한솔케미칼
000080  # 하이트진로
008930  # 한미사이언스
002790  # 아모레G
011780  # 금호석유

# 81-100
007070  # GS리테일
010780  # 아이에스동서
375500  # DL이앤씨
004000  # 롯데정밀화학
011790  # SKC
006360  # GS건설
057050  # 현대홈쇼핑
004370  # 농심
000880  # 한화
001740  # SK네트웍스
002380  # KCC
020150  # 롯데에너지머티리얼즈
001680  # 대상
001430  # 세아베스틸
298020  # 효성티앤씨
000670  # 영풍
298050  # 효성첨단소재
006280  # 녹십자
078930  # GS
004800  # 효성
